"Accl.","Zone","El�ment","X","Y","Z","Dist. cumul.","Longueur","D�flexion","Corhgeo","Gisement","Pente Z","Tilt Z","Date&nbsp;Calcul","Comm","Id point ","Id assemb.","Id slot"
"BR","360","BHZ.21.E","1873.688390","2118.698040","2433.660000","12.471502","-","0.098175000","0.000000","350.2808840","0.000000000","0.000000000","19-JUN-1990","-","80273","2458879","2458879"
"BR","360","BHZ.21.S","1872.444430","2119.728150","2433.660000","14.089198","1.617696","0.098175000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80274","2458879","2458879"
"BR","360","QFO.21.E","1872.121020","2119.946320","2433.660000","14.479298","-","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80275","2458883","2458883"
"BR","360","QFO.21.S","1871.742990","2120.201330","2433.660000","14.935298","0.456000","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80276","2458883","2458883"
"BR","360","BPM.2L3.E","1871.663400","2120.255020","2433.660000","15.031298","-","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80455","2452406","2458895"
"BR","360","BPM.2L3.S","1871.242270","2120.539110","2433.660000","15.539298","0.508000","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80456","2452406","2458895"
"BR","360","QDE.2.E","1871.162680","2120.592790","2433.660000","15.635298","-","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80277","2458901","2458901"
"BR","360","QDE.2.S","1870.471290","2121.059200","2433.660000","16.469298","0.834000","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80278","2458901","2458901"
"BR","360","DHZ.2L4.E","1870.397510","2121.108970","2433.660000","16.558298","-","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80279","2452413","2458910"
"BR","360","DHZ.2L4.S","1869.964760","2121.400890","2433.660000","17.080298","0.522000","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80280","2452413","2458910"
"BR","360","QFO.22.E","1869.890150","2121.451220","2433.660000","17.170298","-","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80281","2458884","2458884"
"BR","360","QFO.22.S","1869.512120","2121.706230","2433.660000","17.626298","0.456000","0.000000000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80282","2458884","2458884"
"BR","360","BHZ.22.E","1869.187930","2121.924920","2433.660000","18.017308","-","0.098175000","0.000000","337.7808840","0.000000000","0.000000000","19-JUN-1990","-","80283","2458880","2458880"
"BR","360","BHZ.22.S","1867.766910","2122.692560","2433.660000","19.635004","1.617696","0.098175000","0.000000","325.2811280","0.000000000","0.000000000","19-JUN-1990","-","80284","2458880","2458880"
"BR","360","MM.3L1.E","1866.651994","2123.160152","2433.660000","20.844004","-","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","29-JUL-2015","-","773893","2452419","2452419"
"BR","360","MM.3L1.S","1866.183526","2123.356626","2433.660000","21.352004","0.508000","0.000000000","0.000000","325.2811280","0.000000000","0.000000000","29-JUL-2015","-","773894","2452419","2452419"
